"Category","Job_Type","Sum","Institution"
"Language","Instructor/Teacher/Faculty",3,"Montana State University"
"Legal","Instructor/Teacher/Faculty",1,"Montana State University"
"Library","Instructor/Teacher/Faculty",2,"Montana State University"
"Math","Instructor/Teacher/Faculty",1,"Flathead Valley Community College"
"Math","Instructor/Teacher/Faculty",1,"Little Big Horn College"
"Math","Instructor/Teacher/Faculty",2,"Montana State University"
"Physical Education","Instructor/Teacher/Faculty",1,"Montana State University"
"Science","Instructor/Teacher/Faculty",1,"Dawson Community College"
"Science","Adjunct/Part-Time Faculty",2,"Flathead Valley Community College"
"Science","Instructor/Teacher/Faculty",1,"Flathead Valley Community College"
"Science","Instructor/Teacher/Faculty",12,"Montana State University"
"Science","Instructor/Teacher/Faculty",1,"Montana State University-Northern"
"Science","Adjunct/Part-Time Faculty",1,"University of Providence"
"Social Science","Instructor/Teacher/Faculty",2,"Montana State University"
"The Arts","Adjunct/Part-Time Faculty",1,"Flathead Valley Community College"
"The Arts","Instructor/Teacher/Faculty",2,"Montana State University"
"Uncategorized","Instructor/Teacher/Faculty",1,"Aaniiih Nakoda College"
"Uncategorized","Instructor/Teacher/Faculty",1,"Carroll College"
"Uncategorized","Adjunct/Part-Time Faculty",4,"Flathead Valley Community College"
"Uncategorized","Instructor/Teacher/Faculty",2,"Flathead Valley Community College"
"Uncategorized","Adjunct/Part-Time Faculty",2,"Great Falls College MSU"
"Uncategorized","Instructor/Teacher/Faculty",1,"Great Falls College MSU"
"Uncategorized","Instructor/Teacher/Faculty",1,"Helena College"
"Uncategorized","Instructor/Teacher/Faculty",1,"Little Big Horn College"
"Uncategorized","Adjunct/Part-Time Faculty",1,"Miles Community College"
"Uncategorized","Instructor/Teacher/Faculty",1,"Miles Community College"
"Uncategorized","Instructor/Teacher/Faculty",38,"Montana State University"
"Uncategorized","Adjunct/Part-Time Faculty",1,"Montana State University Billings"
"Uncategorized","Instructor/Teacher/Faculty",1,"Montana State University Billings"
"Uncategorized","Adjunct/Part-Time Faculty",1,"Montana Tech"
"Uncategorized","Instructor/Teacher/Faculty",6,"Salish Kootenai College"
"Uncategorized","Instructor/Teacher/Faculty",1,"Stone Child College"
"Uncategorized","Instructor/Teacher/Faculty",1,"University of Montana"
